time,x-position,velocity,momentum,kinetic energy,potential energy
28.5,0.899867,-0.87233,-0.87233,0.380479,1.61952
28.6,0.795277,-1.21249,-1.21249,0.735069,1.26493
28.7,0.658982,-1.50432,-1.50432,1.13149,0.868514
28.8,0.496415,-1.73617,-1.73617,1.50714,0.492856
28.9,0.314058,-1.89881,-1.89881,1.80274,0.197265
29,0.11918,-1.98575,-1.98575,1.97159,0.0284078
29.1,-0.0804489,-1.99352,-1.99352,1.98706,0.012944
29.2,-0.276871,-1.92181,-1.92181,1.84669,0.153315
29.3,-0.462254,-1.77349,-1.77349,1.57264,0.427358
29.4,-0.62921,-1.55447,-1.55447,1.20819,0.79181
29.5,-0.77108,-1.27348,-1.27348,0.810871,1.18913
29.6,-0.88221,-0.941711,-0.941711,0.44341,1.55659
29.7,-0.958169,-0.572404,-0.572404,0.163823,1.83618
29.8,-0.995929,-0.180276,-0.180276,0.0162497,1.98375
29.9,-0.993985,0.219039,0.219039,0.023989,1.97601
30,-0.952413,0.609621,0.609621,0.185819,1.81418
30.1,-0.872872,0.9759,0.9759,0.47619,1.52381
30.2,-0.758532,1.30327,1.30327,0.84926,1.15074
30.3,-0.613951,1.57869,1.57869,1.24613,0.753872
30.4,-0.444895,1.79117,1.79117,1.60414,0.395863
30.5,-0.258102,1.93224,1.93224,1.86677,0.133233
30.6,-0.0610188,1.99627,1.99627,1.99255,0.00744659
30.7,0.138497,1.98073,1.98073,1.96164,0.0383626
30.8,0.332491,1.88621,1.88621,1.7789,0.2211
30.9,0.513229,1.7165,1.7165,1.47319,0.526809
31,0.673507,1.47836,1.47836,1.09278,0.907224
31.1,0.806934,1.18128,1.18128,0.697714,1.30229
31.2,0.908192,0.837109,0.837109,0.350376,1.64962
31.3,0.973242,0.459563,0.459563,0.105599,1.8944
31.4,0.999493,0.0636954,0.0636954,0.00202855,1.99797
