time,x-position,velocity,momentum,kinetic energy,potential energy
22.4,0.73288,1.36367,1.36367,0.929802,1.07423
22.5,0.853742,1.04552,1.04552,0.546556,1.45775
22.6,0.940594,0.685728,0.685728,0.235112,1.76943
22.7,0.989976,0.29863,0.29863,0.04459,1.96011
22.8,0.999923,-0.100356,-0.100356,0.00503565,1.99969
22.9,0.970039,-0.495337,-0.495337,0.122679,1.88195
23,0.901515,-0.87058,-0.87058,0.378955,1.62546
23.1,0.797081,-1.21114,-1.21114,0.733425,1.27068
23.2,0.660898,-1.50344,-1.50344,1.13016,0.873572
23.3,0.498392,-1.73585,-1.73585,1.50658,0.496789
23.4,0.316037,-1.8991,-1.8991,1.80328,0.199759
23.5,0.121098,-1.98669,-1.98669,1.97346,0.0293295
23.6,-0.0786586,-1.99513,-1.99513,1.99027,0.0123743
23.7,-0.275275,-1.92409,-1.92409,1.85106,0.151552
23.8,-0.460918,-1.77639,-1.77639,1.57778,0.42489
23.9,-0.628191,-1.55792,-1.55792,1.21356,0.789247
24,-0.77043,-1.27739,-1.27739,0.81586,1.18713
24.1,-0.88197,-0.945965,-0.945965,0.447424,1.55574
24.2,-0.958365,-0.576856,-0.576856,0.166382,1.83693
24.3,-0.996574,-0.18477,-0.18477,0.0170699,1.98632
24.4,-0.995074,0.214673,0.214673,0.0230422,1.98034
24.5,-0.953925,0.605555,0.605555,0.183349,1.81995
24.6,-0.874768,0.972304,0.972304,0.472688,1.53044
24.7,-0.760758,1.30031,1.30031,0.845397,1.1575
24.8,-0.616437,1.57649,1.57649,1.24266,0.759989
24.9,-0.447557,1.78985,1.78985,1.60179,0.400614
25,-0.260847,1.93189,1.93189,1.8661,0.136082
25.1,-0.0637479,1.99695,1.99695,1.9939,0.0081276
25.2,0.135886,1.98243,1.98243,1.96501,0.0369303
25.3,0.330101,1.88891,1.88891,1.78399,0.217933
25.4,0.511157,1.72013,1.72013,1.47942,0.522562
25.5,0.671838,1.4828,1.4828,1.09934,0.902734
25.6,0.805744,1.18638,1.18638,0.703749,1.29845
25.7,0.907537,0.84269,0.84269,0.355063,1.64725
25.8,0.973161,0.465423,0.465423,0.108309,1.89408
25.9,1,0.0696125,0.0696125,0.00242295,2.00001
26,0.986991,-0.328967,-0.328967,0.0541097,1.9483
26.1,0.934646,-0.714432,-0.714432,0.255207,1.74713
26.2,0.845055,-1.07142,-1.07142,0.573972,1.42824
26.3,0.721788,-1.38571,-1.38571,0.960092,1.04195
26.4,0.569757,-1.64476,-1.64476,1.35262,0.649246
26.5,0.395023,-1.83827,-1.83827,1.68962,0.312086
26.6,0.204548,-1.95851,-1.95851,1.91788,0.0836802
26.7,0.00592572,-2.0007,-2.0007,2.00139,7.02283e-05
26.8,-0.19293,-1.96315,-1.96315,1.92697,0.0744436
26.9,-0.384092,-1.84736,-1.84736,1.70636,0.295053
27,-0.559943,-1.65794,-1.65794,1.37438,0.627073
27.1,-0.713474,-1.40245,-1.40245,0.98343,1.01809
27.2,-0.838567,-1.09106,-1.09106,0.59521,1.40639
27.3,-0.930236,-0.736198,-0.736198,0.270993,1.73068
27.4,-0.984827,-0.351993,-0.351993,0.0619495,1.93977
27.5,-1.00017,0.0462374,0.0462374,0.00106895,2.00067
27.6,-0.975642,0.442621,0.442621,0.0979567,1.90375
27.7,-0.912231,0.821359,0.821359,0.337316,1.66433
27.8,-0.812463,1.16736,1.16736,0.681362,1.32019
27.9,-0.680313,1.46682,1.46682,1.07579,0.925651
28,-0.521049,1.70783,1.70783,1.45833,0.542984
28.1,-0.34102,1.88075,1.88075,1.76862,0.232589
28.2,-0.1474,1.97872,1.97872,1.95766,0.0434538
28.3,0.0520913,1.99781,1.99781,1.99563,0.00542701
28.4,0.249504,1.93728,1.93728,1.87652,0.124505
28.5,0.436969,1.79953,1.79953,1.61915,0.381885
28.6,0.607015,1.59005,1.59005,1.26413,0.736935
28.7,0.752864,1.31719,1.31719,0.8675,1.13361
28.8,0.868702,0.99184,0.99184,0.491873,1.50929
28.9,0.949912,0.626954,0.626954,0.196536,1.80467
29,0.993258,0.237081,0.237081,0.0281036,1.97312
29.1,0.997013,-0.16224,-0.16224,0.0131609,1.98807
29.2,0.961026,-0.555091,-0.555091,0.154063,1.84714
29.3,0.886734,-0.925813,-0.925813,0.428564,1.57259
29.4,0.777096,-1.25963,-1.25963,0.793332,1.20776
29.5,0.636484,-1.54323,-1.54323,1.19078,0.810223
29.6,0.470502,-1.76532,-1.76532,1.55818,0.442745
29.7,0.285768,-1.91704,-1.91704,1.83753,0.163327
29.8,0.0896446,-1.99235,-1.99235,1.98472,0.0160723
29.9,-0.11005,-1.98823,-1.98823,1.97653,0.0242222
30,-0.305357,-1.90487,-1.90487,1.81426,0.186485
30.1,-0.488489,-1.74557,-1.74557,1.5235,0.477243
30.2,-0.652148,-1.51669,-1.51669,1.15018,0.850593
30.3,-0.789809,-1.22736,-1.22736,0.753204,1.2476
30.4,-0.895986,-0.889101,-0.889101,0.395251,1.60558
30.5,-0.966447,-0.515405,-0.515405,0.132821,1.86804
30.6,-0.998382,-0.121167,-0.121167,0.00734068,1.99353
30.7,-0.990519,0.2779,0.2779,0.0386142,1.96226
30.8,-0.943172,0.665887,0.665887,0.221703,1.77915
30.9,-0.858228,1.02733,1.02733,0.527701,1.47311
31,-0.739073,1.34782,1.34782,0.908303,1.09246
31.1,-0.590458,1.61457,1.61457,1.30342,0.697281
31.2,-0.418307,1.81697,1.81697,1.65069,0.349961
31.3,-0.229482,1.94693,1.94693,1.89528,0.105324
31.4,-0.0315103,1.99929,1.99929,1.99858,0.0019858
